國字,注音,部首,型近字,同音國字,相似音國字,用詞
禽,ㄑㄧㄣˊ,禸,萬;禹;禺,琴;勤;秦;芹;擒;噙;覃,沁;秦;覃;親;寢;噙;擒;欽;侵;勤;琴;芹,珍禽;飛禽;禽獸;衣冠禽獸;涉禽
稜,ㄌㄥˊ,禾,陵;凌;菱;綾;棱,楞,楞;愣;怔;冷,稜線;三稜鏡;有稜有角;模稜兩可
葵,ㄎㄨㄟˊ,艸,揆;睽,魁;揆;奎;睽;馗,窺;睽;傀;潰;奎;馗;虧;愧;盔;魁;歸;喟;饋;匱;揆;簣,海葵;向日葵;葵花
蛻,ㄊㄨㄟˋ,虫,說;稅;脫;悅;閱;銳,退,退;頹;腿;推,蛻變
寥,ㄌㄧㄠˊ,宀,膠;謬;廖;繆;戮,療;聊;僚;遼;寮;撩;嘹;潦;繚;鐐;燎,寮;鐐;瞭;繚;療;遼;嘹;潦;燎;料;廖;了;僚;聊;撩,寂寥;寥寥可數;寥落;寥寥無幾
屢,ㄌㄩˇ,尸,數;樓;摟;嘍;縷;簍;螻;鏤;僂;髏,旅;呂;侶;鋁;履;縷;婁,氯;慮;率;侶;驢;縷;呂;閭;櫚;濾;壘;旅;婁;鋁;律;履;綠,屢次;屢見不鮮;屢敗屢戰;屢仆屢起
漩,ㄒㄩㄢˊ,水,璇;油;溫;洲,懸;旋;玄;璿,玄;喧;絢;璿;軒;選;炫;懸;旋;渲;暄;宣;眩;暖,漩渦
駁,ㄅㄛˊ,馬,驕;騙;駝;騷,百;伯;博;薄;柏;勃;蔔;泊;脖;搏;膊;悖;舶;帛;箔;渤,簸;亳;柏;薄;餑;波;箔;跛;脖;悖;泊;渤;蔔;般;帛;剝;勃;伯;缽;搏;膊;播;擘;撥;百;舶;玻;博;菠,反駁;駁回;接駁;斑駁;駁船
幢,ㄔㄨㄤˊ,巾,鐘;撞;憧;瞳,床,愴;創;囪;闖;床;窗;瘡,鬼影幢幢
頹,ㄊㄨㄟˊ,頁,額;頂;順;頓,,退;蛻;腿;推,頹勢;頹喪;傾頹;頹廢;衰頹
齋,ㄓㄞ,齊,齊;雀,摘,摘;寨;柴;債;宅;窄,書齋
嚨,ㄌㄨㄥˊ,口,籠;襲;寵;攏;龐;聾;朧;瓏;壟;隴;矓;瀧;蘢,龍;隆;籠;聾;朧;瓏;矓;窿,壟;龍;矓;窿;隆;攏;籠;隴;聾;瓏;弄;朧,喉嚨
瀾,ㄌㄢˊ,水,蘭;爛;欄;攔;斕,蘭;藍;籃;欄;攔;婪;闌;嵐;斕,懶;闌;嵐;婪;纜;籃;攔;斕;攬;覽;藍;蘭;爛;欖;欄;濫,波瀾;推波助瀾;力挽狂瀾;狂瀾
瀾,ㄌㄢˋ,水,蘭;爛;欄;攔;斕,爛;濫,懶;闌;嵐;婪;纜;籃;攔;斕;攬;覽;藍;蘭;爛;欖;欄;濫,瀾漫
鹹,ㄒㄧㄢˊ,鹵,感;減;喊;緘;箴,閒;賢;嫌;弦;銜;嫻;咸;絃;閑;啣;涎,嫻;羨;洗;賢;餡;閒;咸;陷;獻;閑;絃;縣;嫌;險;仙;顯;纖;限;冼;見;憲;蘚;鮮;啣;線;峴;弦;先;腺;現;銜;涎;掀,鹹水;鹹魚翻身;鹹蛋;鹹魚;鹹菜
囑,ㄓㄨˇ,口,矚;嘴,主;屬;煮;矚;貯;拄;渚;枓,豬;煮;佇;珠;諸;築;助;粥;硃;株;注;箸;茱;鑄;朱;矚;躅;住;駐;屬;枓;主;櫫;渚;筑;銖;貯;著;竺;蛀;藷;柱;逐;竹;誅;燭;祝;蛛;註;拄;侏,遺囑;囑咐;叮囑;醫囑
纜,ㄌㄢˇ,糸,攬;欖,覽;懶;攬;欖,懶;闌;嵐;婪;瀾;籃;攔;斕;攬;覽;藍;蘭;爛;欖;欄;濫,電纜;纜車;光纖電纜;船纜;電纜車
沮,ㄐㄩˇ,水,助;組;宜;姐;祖;阻;粗;租;咀;袓;詛;狙;趄;疽,舉;矩;枸;咀;袓;踽;莒,莒;橘;遽;鉅;据;俱;懼;踞;車;聚;拘;枸;足;炬;踽;跼;侷;狙;距;居;袓;駒;掬;颶;劇;鋸;桔;具;咀;拒;瞿;句;且;鞠;矩;據;舉;巨;菊;局,沮喪
姜,ㄐㄧㄤ,女,養;洋;鮮;祥;詳;氧;翔;徉;恙;佯;庠;烊,將;江;疆;漿;僵;薑;殭;韁,蔣;將;講;匠;僵;江;獎;槳;醬;疆;強;絳;薑;殭;降;韁;漿,孟姜女
昧,ㄇㄟˋ,日,味;妹;魅,妹;魅;媚;寐;袂,魅;嵋;眉;梅;霉;沒;玫;妹;寐;每;鎂;楣;媚;莓;黴;媒;美;煤;袂;湄;枚,愚昧;曖昧;三昧;冒昧;拾金不昧
枸,ㄍㄡˇ,木,狗;拘;鉤;苟;齣;駒;佝;鴝,狗;苟,鉤;句;購;勾;構;溝;搆;詬;苟;篝;狗;夠;垢,枸杞子;枸杞
炭,ㄊㄢˋ,火,炎;灰;災,探;嘆;碳;歎,灘;坍;罈;碳;潭;歎;覃;毯;曇;坦;澹;壇;彈;談;袒;探;攤;檀;忐;貪;譚;癱;嘆;痰,煤炭;雪中送炭;木炭;石炭紀;炭火
砌,ㄑㄧˋ,石,沏;礁;硝;磷,氣;器;企;汽;妻;棄;契;泣;緝;迄;憩;亟;磧;訖;葺,訖;棋;崎;企;淒;磧;憩;緝;祈;豈;七;期;綺;棲;臍;氣;器;棄;耆;漆;騎;沏;鰭;萋;畦;薺;契;其;迄;齊;旗;祁;蘄;戚;枝;汽;奇;歧;亟;妻;起;啟;祇;祺;稽;杞;欺;琦;淇;泣;麒;乞;琪;悽;錡;葺,堆砌;砌磚
苛,ㄎㄜ,艸,何;河;奇;阿;柯;呵;軻;坷;訶;蚵;珂,科;柯;棵;顆;軻;瞌;蝌;窠;磕;蚵,顆;柯;軻;棵;殼;課;磕;坷;剋;蚵;咳;克;窠;蝌;渴;恪;刻;溘;瞌;科;客;可,嚴苛;苛刻;苛求;苛政;苛責
倖,ㄒㄧㄥˋ,人,睪;悻,行;性;興;幸;姓;杏;悻,興;省;猩;腥;醒;型;幸;行;刑;邢;杏;擤;性;惺;形;悻;姓;星,倖免;僥倖;倖存;無一倖免;薄倖
哨,ㄕㄠˋ,口,消;銷;悄;稍;趙;宵;削;屑;峭;逍;梢;俏;硝;霄;捎;鞘;綃,少;紹;召;邵;捎;劭,捎;少;紹;召;邵;劭;梢;勺;韶;燒;稍;芍;杓,前哨;口哨;崗哨;前哨戰;哨子
哺,ㄅㄨˇ,口,補;輔;捕;鋪;埔;浦;圃;脯;匍;逋,補;捕;卜,補;捕;逋;埠;怖;布;卜;佈;步;簿;部;不,哺乳類;哺乳動物;哺育;哺乳;哺乳
眨,ㄓㄚˇ,目,泛;貶;砭,,柵;鍘;榨;煠;乍;吒;查;蚱;閘;紮;炸;札;喳;扎;渣;楂;詐,一眨眼;眨眼
虔,ㄑㄧㄢˊ,虍,紋;蚊;紊;吝;汶;雯;閔;旻;玟,前;錢;乾;潛;鉗;掮;黔;箝,前;阡;掮;錢;茜;謙;遣;騫;千;倩;韆;黔;塹;牽;欠;簽;縴;遷;歉;淺;鉛;愆;潛;箝;籤;譴;乾;嵌;鉗,虔誠;虔敬
凰,ㄏㄨㄤˊ,几,鳳;皇,黃;皇;煌;惶;簧;徨;磺;潢;遑;蝗;隍,晃;遑;恍;慌;惶;皇;簧;幌;徨;煌;荒;磺;隍;潢;謊;蝗;黃,鳳凰;鳳求凰;鳳凰木
紳,ㄕㄣ,糸,神;伸;坤;呻,身;深;參;伸;申;呻;娠;莘,身;審;沈;蜃;甚;什;滲;申;慎;嬸;葚;參;腎;莘;瀋;呻;伸;神;深;娠,紳士;士紳;仕紳;縉紳
蛛,ㄓㄨ,虫,珠;殊;株;侏;茱;銖;硃;誅,珠;豬;諸;朱;株;侏;茱;藷;銖;硃;誅;櫫,豬;煮;佇;珠;諸;築;助;粥;硃;株;注;箸;茱;鑄;朱;矚;躅;住;駐;屬;枓;主;櫫;渚;筑;銖;貯;著;竺;蛀;藷;柱;逐;竹;誅;燭;囑;祝;註;拄;侏,蜘蛛
滄,ㄘㄤ,水,創;搶;蒼;槍;艙;瘡;愴;嗆;蹌;鎗,蒼;倉;艙,蒼;艙;藏;倉,滄桑;滄海桑田;歷盡滄桑;滄海
廓,ㄎㄨㄛˋ,广,庸;廁;廬;龐,括;擴;闊,括;擴;闊,輪廓;廓清
瘍,ㄧㄤˊ,疒,場;陽;揚;楊;湯;腸;煬;颺,陽;洋;揚;楊;羊;徉;煬;颺;佯;烊,楊;怏;央;烊;羊;鴦;佯;養;秧;樣;泱;洋;殃;揚;煬;陽;漾;徉;氧;恙;癢;仰;颺,潰瘍;胃潰瘍
綴,ㄓㄨㄟˋ,糸,啜;輟;掇,墜;惴;贅,墜;惴;錐;贅;椎;追,點綴;連綴;綴飾;綴滿
蜿,ㄨㄢ,虫,碗;婉;腕;惋;琬;豌,灣;彎;豌,挽;莞;宛;烷;晚;灣;彎;腕;萬;碗;頑;浣;玩;丸;琬;綰;婉;輓;豌;完;娩;惋,蜿蜒
嘮,ㄌㄠˊ,口,撈;澇,勞;牢;撈,姥;烙;牢;荖;老;勞;潦;落;佬;絡;撈,嘮叨
嘿,ㄏㄟ,口,啦;喊;吹,黑,黑,嘿！你最近好嗎？
墮,ㄉㄨㄛˋ,土,橢;塑;塵,度;惰;踱;舵;剁;跺;垛;咄;馱,度;剁;惰;躲;鐸;多;朵;跺;哆;奪;舵;咄;踱;掇;馱;垛,墮落;自甘墮落;墮胎
撈,ㄌㄠ,手,嘮;澇,,姥;烙;牢;嘮;荖;老;勞;潦;落;佬;絡,漁撈;打撈;捕撈;撈一票;撈捕
敷,ㄈㄨ,攴,效;散;救;敗,夫;膚;孵,扶;夫;頫;孵;複;馥;氟;脯;幅;咐;福;付;蝠;拂;佛;腐;俯;覆;弗;輻;孚;賦;府;復;縛;符;膚;釜;腹;撫;輔;副;甫;阜;赴;彿;父;匐;芙;富;袱;傅;服;俘;芾;附;駙;浮;負;訃;伏;斧;蜉;腑;婦,敷衍;入不敷出;冷敷;敷衍了事;熱敷
螂,ㄌㄤˊ,虫,廊;榔;瑯;啷,郎;廊;狼;榔;琅;瑯,琅;朗;廊;狼;浪;榔;啷;瑯;郎,蟑螂;螳螂
糙,ㄘㄠ,米,糖;粉;粗;糊,操,操;槽;嘈;曹;草;漕,粗糙
蟑,ㄓㄤ,虫,障;彰;樟;璋;嶂;獐;瘴;漳,張;章;彰;樟;璋;獐;漳,獐;璋;障;長;丈;樟;仗;嶂;張;脹;賬;瘴;彰;章;掌;帳;杖;漲;漳,蟑螂
檯,ㄊㄞˊ,木,標;根;權,臺;抬;颱;苔;台;跆,跆;颱;太;台;泰;臺;苔;抬;汰;胎;態,檯面;櫃檯;檯子;轉檯
瀆,ㄉㄨˊ,水,讀;續;贖;竇;牘;犢,讀;獨;毒;頓;牘;犢,堵;肚;犢;渡;毒;睹;讀;牘;賭;嘟;鍍;度;都;頓;篤;獨;妒;杜;蠹;督,貪瀆;褻瀆;瀆職
癒,ㄩˋ,疒,瘡;癢;瘍,育;語;與;雨;預;遇;玉;域;愈;谷;欲;裕;寓;獄;浴;喻;慾;譽;籲;御;豫;禦;郁;粥;芋;馭;燠;尉;毓;諭;昱;飫;聿;嫗;熨,俞;揄;隅;浴;禦;諭;萸;熨;輿;盂;踰;歟;域;豫;諛;預;於;語;噢;芋;餘;玉;虞;毓;喻;窳;嫗;瘀;慾;庾;逾;與;欲;迂;御;嶼;娛;寓;予;渝;覦;尉;譽;籲;遇;禹;瑜;腴;魚;粥;愈;淤;郁;漁;燠;榆;余;圄;臾;裕;昱;馭;紆;聿;雩;愉;妤;于;雨;宇;谷;愚;育;飫;獄;羽,痊癒;治癒;癒合;病癒
竅,ㄑㄧㄠˋ,穴,激;邀;繳,峭;翹;俏;鞘,橋;憔;翹;瞧;悄;峭;巧;喬;蹺;鍬;樵;橇;愀;鞘;敲;俏;僑,訣竅;一竅不通;竅門;開竅;財迷心竅
艦,ㄐㄧㄢˋ,舟,藍;籃;鑑;濫;尷;檻,間;見;建;件;健;漸;監;鍵;鑑;箭;劍;踐;薦;賤;荐;濺;毽;檻;澗;諫;鑒;餞;腱;僭,漸;瞼;艱;緘;繭;柬;檢;檻;殲;尖;間;肩;縑;奸;劍;毽;趼;剪;揀;鍵;鑑;澗;煎;監;諫;健;荐;踐;兼;建;僭;濺;堅;減;鑒;鹼;見;箋;箭;囝;賤;薦;簡;菅;餞;腱;撿;件;儉;筧;姦,戰艦;艦隊;巡防艦;船艦;軍艦
巍,ㄨㄟˊ,山,嵌;嵩;崩,為;維;微;圍;危;唯;違;惟;韋;薇;帷;桅;闈,尾;違;味;闈;娓;維;蔚;魏;萎;慰;喂;圍;鮪;薇;韋;未;委;崴;葦;桅;逶;緯;遺;為;畏;偽;微;位;衛;帷;猥;偉;胃;威;蝟;唯;渭;偎;餵;惟;謂;尉;危,巍峨;崔巍;顫巍巍
聾,ㄌㄨㄥˊ,耳,籠;襲;寵;攏;龐;嚨;朧;瓏;壟;隴;矓;瀧;蘢,龍;隆;籠;嚨;朧;瓏;矓;窿,壟;龍;矓;窿;隆;攏;嚨;籠;隴;瓏;弄;朧,耳聾;震耳欲聾;聾人;聾胞
籤,ㄑㄧㄢ,竹,纖;懺;殲;讖,千;牽;遷;簽;謙;鉛;嵌;騫;阡;韆;愆,前;阡;掮;錢;茜;謙;遣;騫;千;倩;韆;虔;黔;塹;牽;欠;簽;縴;遷;歉;淺;鉛;愆;潛;箝;譴;乾;嵌;鉗,標籤;抽籤;牙籤
侃,ㄎㄢˇ,人,何;做;位,坎;砍;嵌;檻;崁,勘;刊;崁;瞰;堪;看;龕;檻;坎;嵌;砍,調侃;侃侃而談
侏,ㄓㄨ,人,珠;殊;株;蛛;茱;銖;硃;誅,珠;豬;諸;朱;株;蛛;茱;藷;銖;硃;誅;櫫,豬;煮;佇;珠;諸;築;助;粥;硃;株;注;箸;茱;鑄;朱;矚;躅;住;駐;屬;枓;主;櫫;渚;筑;銖;貯;著;竺;蛀;藷;柱;逐;竹;誅;燭;囑;祝;蛛;註;拄,侏羅紀;侏儒;侏儒症
怡,ㄧˊ,心,治;始;胎;抬;颱;苔;殆;冶;跆;怠;飴;笞;貽;迨,遺;移;宜;疑;儀;姨;蛇;夷;胰;台;迤;咦;頤;痍;飴;彝;貽;沂,艾;翳;矣;毅;詣;蛇;夷;一;逸;繹;沂;意;佚;移;貽;亦;易;咦;以;劓;臆;羿;藝;屹;噫;儀;食;溢;迤;蜴;痍;醫;遺;施;胰;議;邑;翼;義;熠;懿;宜;誼;軼;佾;裔;乙;頤;譯;異;依;疑;蟻;翌;抑;蛾;瘞;飴;億;洩;倚;曳;彝;椅;漪;驛;挹;伊;姨;役;憶;泄;疫;囈;台;益;衣;揖;奕;已;咿;射,心曠神怡;怡然自樂
祀,ㄙˋ,示,起;包,四;食;似;寺;飼;賜;伺;肆;姒;嗣,嘶;鷥;賜;思;肆;姒;飼;食;廝;死;似;私;撕;寺;四;斯;絲;嗣;伺;司,祭祀;奉祀
秉,ㄅㄧㄥˇ,禾,雪;尹,屏;餅;柄;丙;炳;稟,冰;摒;併;病;稟;炳;並;屏;餅;丙;柄;兵,秉持;秉承;秉性
哎,ㄞ,口,味;嗎;吸,哀;埃;挨;唉,艾;隘;欸;唉;矮;皚;曖;挨;捱;癌;愛;礙;藹;靄;埃;噯;哀,哎呀;哎喲
袁,ㄩㄢˊ,衣,表;衷;裳,原;員;園;元;源;圓;緣;援;猿;垣;轅;媛;圜;沅,原;宛;員;圓;圜;沅;冤;緣;願;猿;院;淵;怨;轅;愿;源;援;媛;垣;遠;苑;元;鴛;鳶;園,袁世凱
梗,ㄍㄥˇ,木,便;硬;甦;埂;哽;粳;鯁,頸;耿;埂;哽,耿;耕;哽;更;庚;埂;羹;粳;頸,心肌梗塞;梗阻;梗概;阻梗;作梗
蛀,ㄓㄨˋ,虫,住;往;注;柱;駐;註;拄,著;住;助;注;祝;柱;駐;註;粥;鑄;佇;箸,豬;煮;佇;珠;諸;築;助;粥;硃;株;注;箸;茱;鑄;朱;矚;躅;住;駐;屬;枓;主;櫫;渚;筑;銖;貯;著;竺;藷;柱;逐;竹;誅;燭;囑;祝;蛛;註;拄;侏,蛀牙;蛀蟲
傅,ㄈㄨˋ,人,博;搏;膊;縛,父;復;負;富;婦;附;付;副;複;覆;腹;賦;赴;咐;阜;駙;馥;訃,扶;夫;頫;孵;複;馥;氟;脯;幅;咐;福;付;蝠;拂;佛;腐;俯;敷;覆;弗;輻;孚;賦;府;復;縛;符;膚;釜;腹;撫;輔;副;甫;阜;赴;彿;父;匐;芙;富;袱;服;俘;芾;附;駙;浮;負;訃;伏;斧;蜉;腑;婦,師傅;老師傅
嗽,ㄙㄡˋ,口,漱;簌,,藪;叟;擻;颼;搜;餿;蒐,咳嗽
孵,ㄈㄨ,子,浮;孚;俘,夫;膚;敷,扶;夫;頫;複;馥;氟;脯;幅;咐;福;付;蝠;拂;佛;腐;俯;敷;覆;弗;輻;孚;賦;府;復;縛;符;膚;釜;腹;撫;輔;副;甫;阜;赴;彿;父;匐;芙;富;袱;傅;服;俘;芾;附;駙;浮;負;訃;伏;斧;蜉;腑;婦,孵化;孵育
蜘,ㄓ,虫,智;痴;踟,之;知;只;支;隻;織;枝;脂;汁;氏;肢;吱;芝;梔;胝,旨;侄;咫;擲;摭;識;幟;趾;指;酯;桎;志;稚;氏;忮;址;躓;質;脂;遲;置;鋕;執;炙;峙;織;之;雉;抵;徵;制;滯;汁;值;梔;吱;治;痔;職;隻;芷;枝;窒;止;秩;只;製;肢;支;蟄;致;緻;躑;胝;智;痣;祇;芝;知;至;摯;植;紙;祉;直;姪;殖;誌,蜘蛛
蹄,ㄊㄧˊ,足,蒂;締;啼;諦;啻,提;題;堤;啼;醍,嚏;屜;剔;體;弟;提;悌;啼;涕;題;替;踢;惕;剃;醍;堤;梯,馬不停蹄;羊蹄甲;馬失前蹄;馬蹄;馬蹄袖
矯,ㄐㄧㄠˇ,矢,橋;轎;嬌;驕;僑,角;腳;餃;繳;攪;絞;狡;皎;僥;佼;剿;姣;筊;鉸,澆;校;蛟;較;轎;腳;繳;絞;跤;覺;膠;餃;剿;僥;姣;交;叫;筊;狡;醮;窖;鉸;嬌;嚼;焦;角;郊;蕉;皎;礁;驕;教;佼;椒;攪,矯正;矯健;矯飾;矯治;矯情
繃,ㄅㄥ,糸,蹦;絕;續;組,崩,蹦;榜;崩;迸;甭;泵,緊繃;繃帶;繃緊
繃,ㄅㄥˇ,糸,蹦;絕;續;組,,蹦;榜;崩;迸;甭;泵,她正繃著臉生氣
鴿,ㄍㄜ,鳥,給;答;拿;哈;盒;拾;恰;洽;峇;蛤;閤;龕;袷;翕,哥;歌;割;戈;擱;咯;胳;疙,歌;胳;閣;蛤;擱;閤;格;疙;割;嗝;鉻;噶;合;骼;膈;咯;各;箇;哥;個;葛;蓋;革;戈;隔,鴿子;和平鴿;鴿樓
朧,ㄌㄨㄥˊ,月,籠;襲;寵;攏;龐;嚨;聾;瓏;壟;隴;矓;瀧;蘢,龍;隆;籠;嚨;聾;瓏;矓;窿,壟;龍;矓;窿;隆;攏;嚨;籠;隴;聾;瓏;弄,朦朧
饒,ㄖㄠˊ,食,燒;繞;曉;澆;翹;撓;僥;蹺;驍;蟯;橈,蟯,蟯;擾;繞,富饒;豐饒;饒舌;饒恕;饒富
襪,ㄨㄚˋ,衣,衊;襖;褐;袱,,娃;哇;媧;挖;窪;蛙;瓦,襪子;絲襪
纍,ㄌㄟˊ,糸,壘;儡,雷;鐳;擂;嫘,磊;鐳;儡;類;嫘;勒;蕾;擂;雷;累;壘;淚,果實纍纍
飆,ㄅㄧㄠ,風,飄;颱;颼;颳;颯,標;彪;鑣;鏢;杓,標;表;裱;錶;鑣;鏢;婊;彪;杓,狂飆;飆漲;飆車;發飆
毋,ㄨˊ,毋,母;每;毒,無;亡;吳;吾;梧;蕪;唔;蜈;鼯,汙;嗚;鶩;惡;吳;務;嫵;摀;誤;蜈;梧;戊;忤;武;鵡;霧;屋;勿;午;伍;五;亡;於;悟;污;鼯;侮;巫;無;物;吾;晤;唔;舞;騖;蕪;誣;塢;捂;烏;兀,毋寧;毋須;毋庸置疑;毋枉毋縱;毋忘在莒
汐,ㄒㄧˋ,水,多;名;矽;飧,系;細;戲;係;夕;繫;矽;隙;翕,蜥;洗;蓆;隰;嘻;犀;禧;吸;唏;隙;兮;棲;螅;席;錫;冼;襲;熙;膝;曦;系;奚;悉;夕;喜;璽;矽;溪;係;釐;晰;谿;細;皙;昔;希;徙;蹊;樨;熄;惜;息;攜;撕;稀;熹;烯;戲;繫;析;西;嬉;羲;欷;犧;習;媳;蟋;翕;淅,汐止;潮汐
巫,ㄨ,工,坐;夾,於;屋;惡;汙;烏;污;嗚;誣,汙;嗚;鶩;惡;吳;務;嫵;摀;誤;蜈;梧;戊;忤;武;鵡;霧;屋;勿;午;伍;五;亡;於;悟;毋;污;鼯;侮;無;物;吾;晤;唔;舞;騖;蕪;誣;塢;捂;烏;兀,巫婆;女巫;巫術;巫師;巫山
杆,ㄍㄢ,木,刊;汗;肝;旱;竿;軒;奸;鼾;訐;頇;矸,乾;甘;肝;干;竿;尷;柑;疳,趕;竿;感;橄;幹;干;尷;稈;敢;甘;乾;肝;桿;疳;贛;柑,欄杆;桅杆;鐵欄杆;電線杆;旗杆
咀,ㄐㄩˇ,口,助;組;宜;姐;祖;阻;粗;租;沮;袓;詛;狙;趄;疽,舉;矩;沮;枸;袓;踽;莒,莒;橘;遽;鉅;据;俱;懼;踞;車;聚;拘;枸;足;炬;踽;跼;侷;狙;距;居;袓;駒;掬;颶;劇;鋸;桔;具;沮;拒;瞿;句;且;鞠;矩;據;舉;巨;菊;局,咀嚼;咀咒
姍,ㄕㄢ,女,珊;刪;柵;跚,山;扇;珊;衫;杉;刪;煽;跚;搧;舢;潸;羶,山;膳;禪;搧;跚;煽;陝;擅;閃;繕;扇;杉;潸;羶;珊;善;鱔;鄯;撣;刪;疝;舢;單;衫;汕;訕,姍姍來遲
耽,ㄉㄢ,耳,枕;沈;忱;眈,單;擔;丹;眈;簞,憚;啖;膽;簞;丹;誕;澹;氮;眈;彈;蛋;旦;石;撢;但;淡;撣;擔;單,耽擱;耽誤;耽溺
胳,ㄍㄜ,肉,路;客;格;略;洛;閣;絡;駱;咯;酪;骼;烙;賂;鉻;恪;珞,哥;歌;割;戈;擱;咯;鴿;疙,歌;閣;蛤;擱;閤;格;疙;割;嗝;鉻;噶;合;骼;膈;鴿;咯;各;箇;哥;個;葛;蓋;革;戈;隔,胳膊;胳臂
兜,ㄉㄡ,儿,兒;光;先;元;克,都,都;斗;鬥;陡;豆;蚪;讀;逗;枓;痘;竇;抖,兜風;兜售
悵,ㄔㄤˋ,心,張;帳;脹;賬,唱;暢;倡,嫦;猖;倡;倘;長;昌;嚐;徜;腸;唱;暢;常;場;敞;娼;嘗;廠;裳;償;氅,悵然;惆悵;悵惘;悵然若失
聆,ㄌㄧㄥˊ,耳,領;冷;零;齡;鈴;玲;伶;拎;苓;泠;鴒;囹;翎,靈;零;齡;鈴;陵;凌;玲;伶;菱;苓;羚;泠;鴒;綾;櫺;囹;翎,苓;凌;另;羚;菱;領;鴒;零;櫺;綾;拎;齡;靈;伶;玲;泠;嶺;鈴;陵;囹;令;翎,聆聽;聆訊;聆樂;聆賞
趾,ㄓˇ,足,肯;延;址;扯;祉;芷,只;指;止;紙;徵;抵;址;旨;祇;咫;祉;芷;酯,旨;侄;咫;擲;摭;識;幟;指;酯;桎;志;稚;氏;忮;址;躓;質;脂;遲;置;鋕;執;炙;峙;織;之;蜘;雉;抵;徵;制;滯;汁;值;梔;吱;治;痔;職;隻;芷;枝;窒;止;秩;只;製;肢;支;蟄;致;緻;躑;胝;智;痣;祇;芝;知;至;摯;植;紙;祉;直;姪;殖;誌,趾甲;腳趾;交趾陶;趾骨;趾高氣揚
揉,ㄖㄡˊ,手,蹂;持;技;排,柔;蹂,蹂;柔;肉,揉合
萌,ㄇㄥˊ,艸,盟;若;茶;藍,蒙;盟;濛;朦;檬;矇;懵;氓;虻,艋;盟;矇;孟;朦;夢;錳;懵;氓;檬;蒙;虻;猛;蜢;濛,萌芽;故態復萌;萌生;萌發
畸,ㄐㄧ,田,椅;寄;騎;倚;琦;崎;犄;綺;錡,機;其;期;幾;基;奇;積;激;雞;績;跡;肌;棋;蹟;飢;磯;稽;姬;几;譏;饑;箕;羈;屐;犄;嘰;乩;璣;躋;畿,即;績;棋;暨;薊;激;畿;驥;璣;籍;饑;其;忌;肌;笈;吉;既;唧;機;濟;亟;基;疾;屐;冀;寂;稽;藉;及;輯;乩;寄;蹐;季;革;擠;棘;記;覬;鶺;繼;期;譏;給;躋;汲;鯽;嘰;祭;脊;岌;幾;箕;積;跡;薺;蹟;極;齊;吃;擊;際;級;犄;楫;紀;雞;奇;几;己;伎;羈;髻;妓;急;瘠;磯;計;嫉;戟;繫;劑;技;悸;姬;集;飢,畸形;畸零地;畸形兒;畸零
裔,ㄧˋ,衣,商;裝,意;義;易;議;食;藝;衣;異;施;益;射;憶;亦;譯;艾;疫;抑;毅;誼;翼;洩;溢;役;逸;億;曳;泄;繹;奕;羿;翌;驛;懿;翳;屹;邑;瘞;挹;軼;蜴;囈;熠;臆;佚;佾;詣;劓;噫,艾;翳;矣;毅;詣;蛇;夷;一;逸;繹;沂;意;佚;移;貽;亦;易;咦;以;劓;臆;羿;藝;屹;噫;儀;食;溢;迤;蜴;痍;醫;遺;怡;施;胰;議;邑;翼;義;熠;懿;宜;誼;軼;佾;乙;頤;譯;異;依;疑;蟻;翌;抑;蛾;瘞;飴;億;洩;倚;曳;彝;椅;漪;驛;挹;伊;姨;役;憶;泄;疫;囈;台;益;衣;揖;奕;已;咿;射,華裔;後裔;亞裔
摧,ㄘㄨㄟ,手,催;璀,衰;催;崔,催;粹;脆;璀;萃;翠;悴;瘁;淬;崔;衰,摧毀;摧殘;無堅不摧;摧折
裳,˙ㄕㄤ,衣,當;常;黨;堂;掌;賞,,殤;觴;尚;湯;商;上;晌;賞;傷,衣裳
蔚,ㄨㄟˋ,艸,慰;熨,為;位;未;味;衛;遺;謂;慰;胃;餵;畏;偽;魏;喂;渭;尉;蝟,尾;違;味;闈;娓;維;魏;萎;慰;喂;圍;鮪;薇;韋;未;委;崴;葦;桅;逶;緯;遺;為;畏;偽;微;位;衛;巍;帷;猥;偉;胃;威;蝟;唯;渭;偎;餵;惟;謂;尉;危,蔚藍;蔚然;蔚成
醋,ㄘㄨˋ,酉,錯;惜;借;措;鵲;厝,數;趣;促;簇;卒;猝;蹴;蹙,蹴;簇;蹙;數;粗;趣;猝;卒;促,吃醋;醋酸
諱,ㄏㄨㄟˋ,言,衛;圍;偉;違;葦;緯;闈,會;慧;繪;匯;惠;蕙;賄;穢;彙;彗;晦;誨;卉;喙;薈,蕙;惠;輝;暉;灰;恢;誨;迴;彗;穢;洄;燬;揮;回;賄;會;晦;蛔;薈;匯;徽;毀;彙;喙;慧;悔;卉;繪,不諱言;無可諱言;諱言;忌諱;避諱
駭,ㄏㄞˋ,馬,孩;該;刻;核;咳;骸;閡;劾;頦;氦,害;亥,亥;海;骸;咳;還;害;孩,駭人;驚濤駭浪;駭人聽聞;駭怪;駭浪
鵬,ㄆㄥˊ,鳥,棚;崩;硼,朋;逢;膨;澎;蓬;棚;篷;彭;硼,亨;蓬;篷;踫;烹;澎;膨;逢;彭;抨;棚;砰;碰;硼;捧;朋;怦,鵬程萬里;大鵬展翅
